name,address,bairro,link,lat,lng
Baiuca da Resenha,"TRAVESSA QUATORZE DE ABRIL, 1061 | FÁTIMA, BELÉM - PA",FÁTIMA,https://comidadibuteco.com.br/buteco/baiuca-da-resenha/,-1.441938410618821,-48.47126132612687
Bar Dois Irmãos,"Rua Triunvirato , 280 | Cidade Velha, Belém - PA",Cidade Velha,https://comidadibuteco.com.br/buteco/bar-dois-irmaos/,-1.463392582388631,-48.50090545824915
Barão Bistro,"AVENIDA MARQUÊS DE HERVAL, 1405  | PEDREIRA, BELÉM - PA",PEDREIRA,https://comidadibuteco.com.br/buteco/barao-bistro/,-1.4285628,-48.4689117
Bom de Taco,"RUA Estrada da Providência, 2  | ANANINDEUA - PA",ANANINDEUA - PA,https://comidadibuteco.com.br/buteco/bom-de-taco/,,
Boteco do Bacú,"Rua Triunvirato, 303  | Cidade Velha, Belém - PA",Cidade Velha,https://comidadibuteco.com.br/buteco/boteco-do-bacu/,-1.4629002569722815,-48.500718766709014
Caldos & Cia Bar e Restaurante,"Avenida Marques de Herval, 1364 | PEDREIRA, Belem - PA",PEDREIRA,https://comidadibuteco.com.br/buteco/24713-revision-v1/,-1.4286146853942556,-48.46842144419594
Canto do zé petiscaria,"RUA Rua Óbidos, 111  | Belém - PA",Belém - PA,https://comidadibuteco.com.br/buteco/canto-do-ze-petiscaria/,-1.4621846907253482,-48.50149367645686
Cervejaria Uriboca,"RUA BERNAL DO COUTO, 579 | UMARIZAL, BELÉM - PA",UMARIZAL,https://comidadibuteco.com.br/buteco/cervejaria-uriboca/,-1.4412901967451437,-48.485163033894054
Chefe das Mares,"Travessa We 13-B, 12 | ANANINDEUA - PA",ANANINDEUA - PA,https://comidadibuteco.com.br/buteco/chefe-das-mares/,,
Clube do Espeto Grill,"AVENIDA DUQUE DE CAXIAS, 987 | MARCO, BELÉM - PA",MARCO,https://comidadibuteco.com.br/buteco/clube-do-espeto-grill/,-1.4321009,-48.4636183
Confraria do Fraga,"RUA VEIGA CABRAL, 439 | CIDADE VELHA, BELÉM - PA",CIDADE VELHA,https://comidadibuteco.com.br/buteco/confraria-do-fraga/,-1.4645388502718364,-48.50006844978883
Cotton Club Icoaraci,"Travessa São Roque, 465  | CRUZEIRO (ICOARACI), Belém - PA",CRUZEIRO (ICOARACI),https://comidadibuteco.com.br/buteco/cotton-club-icoaraci/,-1.3002019,-48.4852141
DIVINO BISTRÔ,"RUA DA MATA, 80 | MARAMBAIA, BELÉM - PA",MARAMBAIA,https://comidadibuteco.com.br/buteco/divino-bistro/,-1.40126637625,-48.45429237625
Eguatchê,"AVENIDA SANTARÉM, 670 | MARAMBAIA, BELÉM - PA",MARAMBAIA,https://comidadibuteco.com.br/buteco/eguatche/,-1.3954958333333334,-48.45773486666667
Espaço Gastronomico Pimenta na Cuia,"AVENIDA ALMIRANTE TAMANDARÉ, 123 | CIDADE VELHA, BELÉM - PA",CIDADE VELHA,https://comidadibuteco.com.br/buteco/espaco-gastronomico-pimenta-na-cuia/,-1.4615437346113462,-48.50415488607217
Espetinho do Fabrício,"TRAVESSA CRISTÓVÃO COLOMBO, 1439 | CRUZEIRO (ICOARACI), BELÉM - PA",CRUZEIRO (ICOARACI),https://comidadibuteco.com.br/buteco/espetinho-do-fabricio/,-1.2979802166845913,-48.479549283464145
Kassahara Boteco,"TRAVESSA WE9B, 231 |  ANANINDEUA - PA",ANANINDEUA - PA,https://comidadibuteco.com.br/buteco/kassahara-boteco/,,
Manga Pub,"Avenida Cmte. Brás de Aguiar, 492 | Belém - PA",Belém - PA,https://comidadibuteco.com.br/buteco/manga-pub/,,
Mercearia Resto,"RUA JOÃO BALBI, 325 | NAZARÉ, BELÉM - PA",NAZARÉ,https://comidadibuteco.com.br/buteco/mercearia-resto/,-1.4491784791619062,-48.485282027852264
Olaria Bar,"TRAVESSA SÃO ROQUE, 897 | CRUZEIRO (ICOARACI), BELÉM - PA",CRUZEIRO (ICOARACI),https://comidadibuteco.com.br/buteco/olaria-bar/,-1.2999578,-48.4814268
Paladar Gi,"TRAVESSA WE-51, 221 | ANANINDEUA - PA",ANANINDEUA - PA,https://comidadibuteco.com.br/buteco/paladar-gi/,-1.35211172892323,-48.40925074304391
Pileque Boteco,"RUA DIOGO MÓIA, 947 | UMARIZAL, BELÉM - PA",UMARIZAL,https://comidadibuteco.com.br/buteco/pileque-boteco/,-1.442151175378402,-48.480763577369615
Pub Rock 1051,"Travessa Perebebuí, 1051 | Pedreira, Belém - PA",Pedreira,https://comidadibuteco.com.br/buteco/pub-rock-1051/,-1.421228203445576,-48.46594196476647
Quintal Meraki,"TRAVESSA BOM JARDIM, 67 | CIDADE VELHA, BELÉM - PA",CIDADE VELHA,https://comidadibuteco.com.br/buteco/quintal-meraki/,-1.4611868870332292,-48.50121033243351
Sabor de Picui,"Avenida Rômulo Maiorana, 533 | MARCO, Belém - PA",MARCO,https://comidadibuteco.com.br/buteco/sabor-de-picui/,-1.4419254719722505,-48.466316991919754
So Porco Torresmo e Cia,"Avenida Marques de Herval, 1201 | Pedreira, Belém - PA",Pedreira,https://comidadibuteco.com.br/buteco/so-porco-torresmo-e-cia/,-1.4300966224658347,-48.46995086779286
Sr Diferentão CN,"TRAVESSA WE-43, 532  | ANANINDEUA - PA",ANANINDEUA - PA,https://comidadibuteco.com.br/buteco/sr-diferentao-cn/,-1.3557604270926287,-48.40814111345276
Terramar Restô,"TRAVESSA WE-25, 161  | ANANINDEUA - PA",ANANINDEUA - PA,https://comidadibuteco.com.br/buteco/29912-autosave-v1/,-1.3641142990609718,-48.40116985712084
